PNA;MIEJSCOWOå∆;ULICA;NUMERY;GMINA;POWIAT;WOJEW”DZTWO
30-094;KrakÛw (KrakÛw-Krowodrza);Wjazdowa;;KrakÛw;KrakÛw;ma≥opolskie
30-203;KrakÛw (KrakÛw-Krowodrza);W≥adys≥awa Anczyca;;KrakÛw;KrakÛw;ma≥opolskie
30-010;KrakÛw (KrakÛw-Krowodrza);W≥adys≥awa £okietka;1-23a(n), 2-32(p);KrakÛw;KrakÛw;ma≥opolskie
31-279;KrakÛw (KrakÛw-Krowodrza);W≥adys≥awa £okietka;25-59(n);KrakÛw;KrakÛw;ma≥opolskie
30-016;KrakÛw (KrakÛw-Krowodrza);W≥adys≥awa £okietka;34-36(p);KrakÛw;KrakÛw;ma≥opolskie
31-334;KrakÛw (KrakÛw-Krowodrza);W≥adys≥awa £okietka;38-DK(p);KrakÛw;KrakÛw;ma≥opolskie
31-280;KrakÛw (KrakÛw-Krowodrza);W≥adys≥awa £okietka;61-81(n);KrakÛw;KrakÛw;ma≥opolskie
31-263;KrakÛw (KrakÛw-Krowodrza);W≥adys≥awa £okietka;83-DK(n);KrakÛw;KrakÛw;ma≥opolskie
31-234;KrakÛw (KrakÛw-Krowodrza);W≥adys≥awa Natansona;;KrakÛw;KrakÛw;ma≥opolskie
31-321;KrakÛw (KrakÛw-Krowodrza);W≥adys≥awa PodkowiÒskiego;;KrakÛw;KrakÛw;ma≥opolskie
30-298;KrakÛw (KrakÛw-Krowodrza);W≥adys≥awa Raczkiewicza;;KrakÛw;KrakÛw;ma≥opolskie
30-059;KrakÛw (KrakÛw-Krowodrza);W≥adys≥awa Reymonta;1-53(n), 2-22(p);KrakÛw;KrakÛw;ma≥opolskie
30-073;KrakÛw (KrakÛw-Krowodrza);W≥adys≥awa Reymonta;24-DK(p), 55-DK(n);KrakÛw;KrakÛw;ma≥opolskie
30-102;KrakÛw (KrakÛw-Krowodrza);W≥adys≥awa Syrokomli;;KrakÛw;KrakÛw;ma≥opolskie
31-353;KrakÛw (KrakÛw-Krowodrza);W≥adys≥awa ØeleÒskiego;;KrakÛw;KrakÛw;ma≥opolskie
30-244;KrakÛw (KrakÛw-Krowodrza);W≥odzimierza Puchalskiego;;KrakÛw;KrakÛw;ma≥opolskie
31-352;KrakÛw (KrakÛw-Krowodrza);W≥odzimierza Tetmajera;;KrakÛw;KrakÛw;ma≥opolskie
30-138;KrakÛw (KrakÛw-Krowodrza);W≥oúciaÒska;;KrakÛw;KrakÛw;ma≥opolskie
30-103;KrakÛw (KrakÛw-Krowodrza);W≥ÛczkÛw;;KrakÛw;KrakÛw;ma≥opolskie
30-205;KrakÛw (KrakÛw-Krowodrza);Wodociπgowa;;KrakÛw;KrakÛw;ma≥opolskie
30-086;KrakÛw (KrakÛw-Krowodrza);Wojciecha Halczyna;;KrakÛw;KrakÛw;ma≥opolskie
31-339;KrakÛw (KrakÛw-Krowodrza);Wojciecha Weissa;;KrakÛw;KrakÛw;ma≥opolskie
30-023;KrakÛw (KrakÛw-Krowodrza);Wojskowa;;KrakÛw;KrakÛw;ma≥opolskie
30-020;KrakÛw (KrakÛw-Krowodrza);WÛjtowska;;KrakÛw;KrakÛw;ma≥opolskie
30-006;KrakÛw (KrakÛw-Krowodrza);Wroc≥awska;1-17(n), 2-24(p);KrakÛw;KrakÛw;ma≥opolskie
30-011;KrakÛw (KrakÛw-Krowodrza);Wroc≥awska;19-77(n), 26-64(p);KrakÛw;KrakÛw;ma≥opolskie
30-017;KrakÛw (KrakÛw-Krowodrza);Wroc≥awska;66-DK(p), 79-DK(n);KrakÛw;KrakÛw;ma≥opolskie
30-240;KrakÛw (KrakÛw-Krowodrza);Za Sk≥onem;;KrakÛw;KrakÛw;ma≥opolskie
30-057;KrakÛw (KrakÛw-Krowodrza);Za Targiem;;KrakÛw;KrakÛw;ma≥opolskie
31-354;KrakÛw (KrakÛw-Krowodrza);Zaborska;;KrakÛw;KrakÛw;ma≥opolskie
30-087;KrakÛw (KrakÛw-Krowodrza);Zaczarowane Ko≥o;;KrakÛw;KrakÛw;ma≥opolskie
30-240;KrakÛw (KrakÛw-Krowodrza);Zakamycze;;KrakÛw;KrakÛw;ma≥opolskie
30-076;KrakÛw (KrakÛw-Krowodrza);Zakπtek;;KrakÛw;KrakÛw;ma≥opolskie
30-198;KrakÛw (KrakÛw-Krowodrza);Zakliki z Mydlnik;;KrakÛw;KrakÛw;ma≥opolskie
31-398;KrakÛw (KrakÛw-Krowodrza);Zaklucze;;KrakÛw;KrakÛw;ma≥opolskie
30-245;KrakÛw (KrakÛw-Krowodrza);ZakrÍt;;KrakÛw;KrakÛw;ma≥opolskie
30-243;KrakÛw (KrakÛw-Krowodrza);Zaogrodzie;;KrakÛw;KrakÛw;ma≥opolskie
30-144;KrakÛw (KrakÛw-Krowodrza);Zarudawie;;KrakÛw;KrakÛw;ma≥opolskie
30-134;KrakÛw (KrakÛw-Krowodrza);Zarzecze;;KrakÛw;KrakÛw;ma≥opolskie
30-250;KrakÛw (KrakÛw-Krowodrza);Zaskale;;KrakÛw;KrakÛw;ma≥opolskie
30-243;KrakÛw (KrakÛw-Krowodrza);Zaszkolna;;KrakÛw;KrakÛw;ma≥opolskie
30-209;KrakÛw (KrakÛw-Krowodrza);Zaúcianek;;KrakÛw;KrakÛw;ma≥opolskie
31-232;KrakÛw (KrakÛw-Krowodrza);Zawodzie;;KrakÛw;KrakÛw;ma≥opolskie
30-002;KrakÛw (KrakÛw-Krowodrza);Zboøowa;;KrakÛw;KrakÛw;ma≥opolskie
30-042;KrakÛw (KrakÛw-Krowodrza);ZbrojÛw;;KrakÛw;KrakÛw;ma≥opolskie
31-216;KrakÛw (KrakÛw-Krowodrza);Zdrowa;;KrakÛw;KrakÛw;ma≥opolskie
31-279;KrakÛw (KrakÛw-Krowodrza);Zefirowa;;KrakÛw;KrakÛw;ma≥opolskie
31-217;KrakÛw (KrakÛw-Krowodrza);Zgody;;KrakÛw;KrakÛw;ma≥opolskie
31-227;KrakÛw (KrakÛw-Krowodrza);ZieliÒska;;KrakÛw;KrakÛw;ma≥opolskie
31-234;KrakÛw (KrakÛw-Krowodrza);Zielone WzgÛrze;;KrakÛw;KrakÛw;ma≥opolskie
30-228;KrakÛw (KrakÛw-Krowodrza);Zielony DÛ≥;;KrakÛw;KrakÛw;ma≥opolskie
31-351;KrakÛw (KrakÛw-Krowodrza);Zielony Most;;KrakÛw;KrakÛw;ma≥opolskie
30-210;KrakÛw (KrakÛw-Krowodrza);ZimorodkÛw;;KrakÛw;KrakÛw;ma≥opolskie
30-215;KrakÛw (KrakÛw-Krowodrza);Z≥ota;;KrakÛw;KrakÛw;ma≥opolskie
30-095;KrakÛw (KrakÛw-Krowodrza);Z≥oty RÛg;;KrakÛw;KrakÛw;ma≥opolskie
30-298;KrakÛw (KrakÛw-Krowodrza);Zofii StryjeÒskiej;;KrakÛw;KrakÛw;ma≥opolskie
31-222;KrakÛw (KrakÛw-Krowodrza);Zygmunta Glogera;;KrakÛw;KrakÛw;ma≥opolskie
30-136;KrakÛw (KrakÛw-Krowodrza);Zygmunta Mys≥akowskiego;;KrakÛw;KrakÛw;ma≥opolskie
30-198;KrakÛw (KrakÛw-Krowodrza);Zygmunta Starego;;KrakÛw;KrakÛw;ma≥opolskie
31-268;KrakÛw (KrakÛw-Krowodrza);Zygmunta Waliszewskiego;;KrakÛw;KrakÛw;ma≥opolskie
30-217;KrakÛw (KrakÛw-Krowodrza);Zygmunta Wyrobka;;KrakÛw;KrakÛw;ma≥opolskie
31-314;KrakÛw (KrakÛw-Krowodrza);Zygmuntowska;;KrakÛw;KrakÛw;ma≥opolskie
31-215;KrakÛw (KrakÛw-Krowodrza);Øabiniec;;KrakÛw;KrakÛw;ma≥opolskie
31-217;KrakÛw (KrakÛw-Krowodrza);Ømujdzka;18-DK(p), 25-DK(n);KrakÛw;KrakÛw;ma≥opolskie
31-226;KrakÛw (KrakÛw-Krowodrza);Øwirowa;;KrakÛw;KrakÛw;ma≥opolskie
31-232;KrakÛw (KrakÛw-Krowodrza);Øywa;;KrakÛw;KrakÛw;ma≥opolskie
30-251;KrakÛw (KrakÛw-Krowodrza);Øywiczna;;KrakÛw;KrakÛw;ma≥opolskie
31-622;KrakÛw (KrakÛw-Nowa Huta);Adama PrÛchnika;;KrakÛw;KrakÛw;ma≥opolskie
31-876;KrakÛw (KrakÛw-Nowa Huta);Aleja gen. Tadeusza Bora-Komorowskiego;31-DK(n);KrakÛw;KrakÛw;ma≥opolskie
31-930;KrakÛw (KrakÛw-Nowa Huta);Aleja gen. W≥adys≥awa Andersa;1-20, 22-30;KrakÛw;KrakÛw;ma≥opolskie
31-873;KrakÛw (KrakÛw-Nowa Huta);Aleja gen. W≥adys≥awa Andersa;21, 31-DK;KrakÛw;KrakÛw;ma≥opolskie
31-982;KrakÛw (KrakÛw-Nowa Huta);Aleja Jana Paw≥a II;140-232(p);KrakÛw;KrakÛw;ma≥opolskie
31-864;KrakÛw (KrakÛw-Nowa Huta);Aleja Jana Paw≥a II;31-45(n);KrakÛw;KrakÛw;ma≥opolskie
31-579;KrakÛw (KrakÛw-Nowa Huta);Aleja Jana Paw≥a II;82-138(p);KrakÛw;KrakÛw;ma≥opolskie
31-564;KrakÛw (KrakÛw-Nowa Huta);Aleja Pokoju;16-90(p), 31-67(n);KrakÛw;KrakÛw;ma≥opolskie
31-950;KrakÛw (KrakÛw-Nowa Huta);Aleja Przyjaüni;;KrakÛw;KrakÛw;ma≥opolskie
31-960;KrakÛw (KrakÛw-Nowa Huta);Aleja RÛø;;KrakÛw;KrakÛw;ma≥opolskie
31-974;KrakÛw (KrakÛw-Nowa Huta);Aleja Solidarnoúci;1-39;KrakÛw;KrakÛw;ma≥opolskie
31-752;KrakÛw (KrakÛw-Nowa Huta);Aleja Solidarnoúci;40-DK;KrakÛw;KrakÛw;ma≥opolskie
31-988;KrakÛw (KrakÛw-Nowa Huta);Aleksandra Or≥owskiego;;KrakÛw;KrakÛw;ma≥opolskie
31-839;KrakÛw (KrakÛw-Nowa Huta);AndegaweÒska;;KrakÛw;KrakÛw;ma≥opolskie
31-636;KrakÛw (KrakÛw-Nowa Huta);Andrzeja i JÛzefa Za≥uskich;;KrakÛw;KrakÛw;ma≥opolskie
31-990;KrakÛw (KrakÛw-Nowa Huta);Andrzeja Mycielskiego;;KrakÛw;KrakÛw;ma≥opolskie
31-999;KrakÛw (KrakÛw-Nowa Huta);Andrzeja Stopki;;KrakÛw;KrakÛw;ma≥opolskie
31-976;KrakÛw (KrakÛw-Nowa Huta);Andrzeja Struga;;KrakÛw;KrakÛw;ma≥opolskie
31-999;KrakÛw (KrakÛw-Nowa Huta);Andrzeja WaligÛrskiego;;KrakÛw;KrakÛw;ma≥opolskie
31-831;KrakÛw (KrakÛw-Nowa Huta);Anny Jagiellonki;;KrakÛw;KrakÛw;ma≥opolskie
31-711;KrakÛw (KrakÛw-Nowa Huta);ArchitektÛw;;KrakÛw;KrakÛw;ma≥opolskie
31-932;KrakÛw (KrakÛw-Nowa Huta);ArtystÛw;;KrakÛw;KrakÛw;ma≥opolskie
31-836;KrakÛw (KrakÛw-Nowa Huta);Barbary Radziwi≥≥Ûwny;;KrakÛw;KrakÛw;ma≥opolskie
31-979;KrakÛw (KrakÛw-Nowa Huta);Bardosa;;KrakÛw;KrakÛw;ma≥opolskie
31-709;KrakÛw (KrakÛw-Nowa Huta);Bart≥omieja Groickiego;;KrakÛw;KrakÛw;ma≥opolskie
31-998;KrakÛw (KrakÛw-Nowa Huta);Bartnicza;;KrakÛw;KrakÛw;ma≥opolskie
31-998;KrakÛw (KrakÛw-Nowa Huta);Barwinkowa;;KrakÛw;KrakÛw;ma≥opolskie
31-999;KrakÛw (KrakÛw-Nowa Huta);Barwna;;KrakÛw;KrakÛw;ma≥opolskie
31-845;KrakÛw (KrakÛw-Nowa Huta);"Batalionu ""Parasol""";;KrakÛw;KrakÛw;ma≥opolskie
31-862;KrakÛw (KrakÛw-Nowa Huta);"Batalionu ""Zoúka""";;KrakÛw;KrakÛw;ma≥opolskie
31-999;KrakÛw (KrakÛw-Nowa Huta);Benedykta Dybowskiego;;KrakÛw;KrakÛw;ma≥opolskie
31-999;KrakÛw (KrakÛw-Nowa Huta);Betlejemska;;KrakÛw;KrakÛw;ma≥opolskie
31-998;KrakÛw (KrakÛw-Nowa Huta);Betonowa;;KrakÛw;KrakÛw;ma≥opolskie
31-860;KrakÛw (KrakÛw-Nowa Huta);BieÒczycka;;KrakÛw;KrakÛw;ma≥opolskie
31-619;KrakÛw (KrakÛw-Nowa Huta);Biskupa Jana Dantyszka;;KrakÛw;KrakÛw;ma≥opolskie
31-619;KrakÛw (KrakÛw-Nowa Huta);Bitwy nad Bzurπ;;KrakÛw;KrakÛw;ma≥opolskie
31-998;KrakÛw (KrakÛw-Nowa Huta);Biwakowa;;KrakÛw;KrakÛw;ma≥opolskie
31-752;KrakÛw (KrakÛw-Nowa Huta);Blokowa;;KrakÛw;KrakÛw;ma≥opolskie
31-579;KrakÛw (KrakÛw-Nowa Huta);BoguszÛwka;;KrakÛw;KrakÛw;ma≥opolskie
31-636;KrakÛw (KrakÛw-Nowa Huta);Bohdana Arcta;;KrakÛw;KrakÛw;ma≥opolskie
31-947;KrakÛw (KrakÛw-Nowa Huta);Boles≥awa Czuchajowskiego;;KrakÛw;KrakÛw;ma≥opolskie
31-998;KrakÛw (KrakÛw-Nowa Huta);Boles≥awa Kontryma;;KrakÛw;KrakÛw;ma≥opolskie
31-710;KrakÛw (KrakÛw-Nowa Huta);Boles≥awa Krzywoustego;;KrakÛw;KrakÛw;ma≥opolskie
31-878;KrakÛw (KrakÛw-Nowa Huta);Boles≥awa OrliÒskiego;;KrakÛw;KrakÛw;ma≥opolskie
31-710;KrakÛw (KrakÛw-Nowa Huta);Boles≥awa Wstydliwego;;KrakÛw;KrakÛw;ma≥opolskie
31-764;KrakÛw (KrakÛw-Nowa Huta);Boøywoja;;KrakÛw;KrakÛw;ma≥opolskie
31-982;KrakÛw (KrakÛw-Nowa Huta);bp. Filipa Padniewskiego;;KrakÛw;KrakÛw;ma≥opolskie
31-982;KrakÛw (KrakÛw-Nowa Huta);bp. Piotra Tomickiego;;KrakÛw;KrakÛw;ma≥opolskie
31-988;KrakÛw (KrakÛw-Nowa Huta);Braci Polskich;;KrakÛw;KrakÛw;ma≥opolskie
31-859;KrakÛw (KrakÛw-Nowa Huta);Braci SchindlerÛw;;KrakÛw;KrakÛw;ma≥opolskie
31-985;KrakÛw (KrakÛw-Nowa Huta);Branicka;;KrakÛw;KrakÛw;ma≥opolskie
31-873;KrakÛw (KrakÛw-Nowa Huta);Bronis≥awa W≥odarczyka;;KrakÛw;KrakÛw;ma≥opolskie
31-999;KrakÛw (KrakÛw-Nowa Huta);Bruúnicka;;KrakÛw;KrakÛw;ma≥opolskie
31-998;KrakÛw (KrakÛw-Nowa Huta);Brzeska;;KrakÛw;KrakÛw;ma≥opolskie
31-619;KrakÛw (KrakÛw-Nowa Huta);BudziszyÒska;;KrakÛw;KrakÛw;ma≥opolskie
31-764;KrakÛw (KrakÛw-Nowa Huta);Bukszpanowa;;KrakÛw;KrakÛw;ma≥opolskie
31-751;KrakÛw (KrakÛw-Nowa Huta);Bulwarowa;1-37(n), 4-26(p), 30-DK(p), 41-DK(n);KrakÛw;KrakÛw;ma≥opolskie
31-965;KrakÛw (KrakÛw-Nowa Huta);Bulwarowa;2;KrakÛw;KrakÛw;ma≥opolskie
31-907;KrakÛw (KrakÛw-Nowa Huta);Bulwarowa;28;KrakÛw;KrakÛw;ma≥opolskie
31-978;KrakÛw (KrakÛw-Nowa Huta);Bulwarowa;39;KrakÛw;KrakÛw;ma≥opolskie
31-766;KrakÛw (KrakÛw-Nowa Huta);Burzowa;;KrakÛw;KrakÛw;ma≥opolskie
31-612;KrakÛw (KrakÛw-Nowa Huta);CedyÒska;;KrakÛw;KrakÛw;ma≥opolskie
31-983;KrakÛw (KrakÛw-Nowa Huta);Cementowa;;KrakÛw;KrakÛw;ma≥opolskie
31-982;KrakÛw (KrakÛw-Nowa Huta);Centralna;1-37(n);KrakÛw;KrakÛw;ma≥opolskie
31-579;KrakÛw (KrakÛw-Nowa Huta);Centralna;2-30(p);KrakÛw;KrakÛw;ma≥opolskie
31-586;KrakÛw (KrakÛw-Nowa Huta);Centralna;32-50(p), 39-91(n), 92-DK;KrakÛw;KrakÛw;ma≥opolskie
31-985;KrakÛw (KrakÛw-Nowa Huta);Cha≥upki;;KrakÛw;KrakÛw;ma≥opolskie
31-572;KrakÛw (KrakÛw-Nowa Huta);Cichociemnych AK;;KrakÛw;KrakÛw;ma≥opolskie
31-998;KrakÛw (KrakÛw-Nowa Huta);Ciekowiec;;KrakÛw;KrakÛw;ma≥opolskie
31-831;KrakÛw (KrakÛw-Nowa Huta);Cienista;;KrakÛw;KrakÛw;ma≥opolskie
31-574;KrakÛw (KrakÛw-Nowa Huta);Ciep≥ownicza;;KrakÛw;KrakÛw;ma≥opolskie
31-588;KrakÛw (KrakÛw-Nowa Huta);Cuplowa;;KrakÛw;KrakÛw;ma≥opolskie
31-999;KrakÛw (KrakÛw-Nowa Huta);Cypriana Godebskiego;;KrakÛw;KrakÛw;ma≥opolskie
31-764;KrakÛw (KrakÛw-Nowa Huta);CyprysÛw;;KrakÛw;KrakÛw;ma≥opolskie
31-619;KrakÛw (KrakÛw-Nowa Huta);Czarnolaska;;KrakÛw;KrakÛw;ma≥opolskie
31-998;KrakÛw (KrakÛw-Nowa Huta);CzeczeÒska;;KrakÛw;KrakÛw;ma≥opolskie
31-711;KrakÛw (KrakÛw-Nowa Huta);Czerwonego Kapturka;;KrakÛw;KrakÛw;ma≥opolskie
31-711;KrakÛw (KrakÛw-Nowa Huta);Czes≥awa Janczarskiego;;KrakÛw;KrakÛw;ma≥opolskie
31-571;KrakÛw (KrakÛw-Nowa Huta);CzyøyÒska;;KrakÛw;KrakÛw;ma≥opolskie
31-985;KrakÛw (KrakÛw-Nowa Huta);Deszczowa;;KrakÛw;KrakÛw;ma≥opolskie
31-644;KrakÛw (KrakÛw-Nowa Huta);Do Fortu;;KrakÛw;KrakÛw;ma≥opolskie
31-587;KrakÛw (KrakÛw-Nowa Huta);Do Wis≥y;;KrakÛw;KrakÛw;ma≥opolskie
31-579;KrakÛw (KrakÛw-Nowa Huta);Dolna;;KrakÛw;KrakÛw;ma≥opolskie
31-580;KrakÛw (KrakÛw-Nowa Huta);Dolnom≥yÒska;;KrakÛw;KrakÛw;ma≥opolskie
31-998;KrakÛw (KrakÛw-Nowa Huta);Droøyska;;KrakÛw;KrakÛw;ma≥opolskie
31-983;KrakÛw (KrakÛw-Nowa Huta);Dymarek;;KrakÛw;KrakÛw;ma≥opolskie
31-670;KrakÛw (KrakÛw-Nowa Huta);Dziekanowicka;;KrakÛw;KrakÛw;ma≥opolskie
31-983;KrakÛw (KrakÛw-Nowa Huta);Eden;;KrakÛw;KrakÛw;ma≥opolskie
31-957;KrakÛw (KrakÛw-Nowa Huta);Edwarda Rydza-åmig≥ego;;KrakÛw;KrakÛw;ma≥opolskie
31-985;KrakÛw (KrakÛw-Nowa Huta);Edwarda SzymaÒskiego;;KrakÛw;KrakÛw;ma≥opolskie
31-999;KrakÛw (KrakÛw-Nowa Huta);Edwarda Wittiga;;KrakÛw;KrakÛw;ma≥opolskie
31-843;KrakÛw (KrakÛw-Nowa Huta);Eløbiety £okietkÛwny;;KrakÛw;KrakÛw;ma≥opolskie
31-764;KrakÛw (KrakÛw-Nowa Huta);Emila Freege'go;;KrakÛw;KrakÛw;ma≥opolskie
31-467;KrakÛw (KrakÛw-Nowa Huta);Ernesta Cieúlewskiego;;KrakÛw;KrakÛw;ma≥opolskie
31-619;KrakÛw (KrakÛw-Nowa Huta);Eugeniusza Baziaka;;KrakÛw;KrakÛw;ma≥opolskie
31-831;KrakÛw (KrakÛw-Nowa Huta);Fatimska;;KrakÛw;KrakÛw;ma≥opolskie
31-768;KrakÛw (KrakÛw-Nowa Huta);Folwarczna;;KrakÛw;KrakÛw;ma≥opolskie
31-859;KrakÛw (KrakÛw-Nowa Huta);Franciszka Hynka;;KrakÛw;KrakÛw;ma≥opolskie
31-619;KrakÛw (KrakÛw-Nowa Huta);Franciszka Kleeberga;;KrakÛw;KrakÛw;ma≥opolskie
31-637;KrakÛw (KrakÛw-Nowa Huta);Franciszka Kniaünina;;KrakÛw;KrakÛw;ma≥opolskie
31-845;KrakÛw (KrakÛw-Nowa Huta);Franciszka Ptaka;;KrakÛw;KrakÛw;ma≥opolskie
31-764;KrakÛw (KrakÛw-Nowa Huta);Franciszka Stefczyka;;KrakÛw;KrakÛw;ma≥opolskie
31-764;KrakÛw (KrakÛw-Nowa Huta);Franciszka Twaroga;;KrakÛw;KrakÛw;ma≥opolskie
31-580;KrakÛw (KrakÛw-Nowa Huta);Franciszka WÍøyka;;KrakÛw;KrakÛw;ma≥opolskie
31-637;KrakÛw (KrakÛw-Nowa Huta);Franciszka Zab≥ockiego;;KrakÛw;KrakÛw;ma≥opolskie
31-586;KrakÛw (KrakÛw-Nowa Huta);Galicyjska;;KrakÛw;KrakÛw;ma≥opolskie
31-622;KrakÛw (KrakÛw-Nowa Huta);gen. Kazimierza Sosnkowskiego;;KrakÛw;KrakÛw;ma≥opolskie
31-637;KrakÛw (KrakÛw-Nowa Huta);gen. Leopolda Okulickiego;;KrakÛw;KrakÛw;ma≥opolskie
31-985;KrakÛw (KrakÛw-Nowa Huta);gen. Micha≥a Karaszewicza-Tokarzewskiego;;KrakÛw;KrakÛw;ma≥opolskie
31-939;KrakÛw (KrakÛw-Nowa Huta);gen. Mieczys≥awa Boruty-Spiechowicza;;KrakÛw;KrakÛw;ma≥opolskie
31-752;KrakÛw (KrakÛw-Nowa Huta);gen. Mieczys≥awa SmorawiÒskiego;;KrakÛw;KrakÛw;ma≥opolskie
31-802;KrakÛw (KrakÛw-Nowa Huta);gen. Witolda Urbanowicza;;KrakÛw;KrakÛw;ma≥opolskie
31-619;KrakÛw (KrakÛw-Nowa Huta);Genera≥a Bernarda Monda;;KrakÛw;KrakÛw;ma≥opolskie
31-764;KrakÛw (KrakÛw-Nowa Huta);GeodetÛw;;KrakÛw;KrakÛw;ma≥opolskie
31-990;KrakÛw (KrakÛw-Nowa Huta);Glinik;;KrakÛw;KrakÛw;ma≥opolskie
31-764;KrakÛw (KrakÛw-Nowa Huta);G≥Íbinowa;;KrakÛw;KrakÛw;ma≥opolskie
31-980;KrakÛw (KrakÛw-Nowa Huta);Graniczna;;KrakÛw;KrakÛw;ma≥opolskie
31-711;KrakÛw (KrakÛw-Nowa Huta);Graøyny BacewiczÛwny;;KrakÛw;KrakÛw;ma≥opolskie
31-980;KrakÛw (KrakÛw-Nowa Huta);Grπby;;KrakÛw;KrakÛw;ma≥opolskie
31-764;KrakÛw (KrakÛw-Nowa Huta);GrÍba≥owska;;KrakÛw;KrakÛw;ma≥opolskie
31-766;KrakÛw (KrakÛw-Nowa Huta);Grzegorza z Sanoka;;KrakÛw;KrakÛw;ma≥opolskie
31-908;KrakÛw (KrakÛw-Nowa Huta);Gustawa Dani≥owskiego;;KrakÛw;KrakÛw;ma≥opolskie
31-762;KrakÛw (KrakÛw-Nowa Huta);Gustawa Morcinka;;KrakÛw;KrakÛw;ma≥opolskie
31-855;KrakÛw (KrakÛw-Nowa Huta);Gustawa Pokrzywki;;KrakÛw;KrakÛw;ma≥opolskie
31-983;KrakÛw (KrakÛw-Nowa Huta);Gwarecka;;KrakÛw;KrakÛw;ma≥opolskie
31-980;KrakÛw (KrakÛw-Nowa Huta);Habina;;KrakÛw;KrakÛw;ma≥opolskie
31-763;KrakÛw (KrakÛw-Nowa Huta);Haliny CieúliÒskiej-Brzeskiej;;KrakÛw;KrakÛw;ma≥opolskie
31-711;KrakÛw (KrakÛw-Nowa Huta);Hanny Mortkowicz-Olczakowej;;KrakÛw;KrakÛw;ma≥opolskie
31-751;KrakÛw (KrakÛw-Nowa Huta);Hansa Christiana Andersena;;KrakÛw;KrakÛw;ma≥opolskie
31-999;KrakÛw (KrakÛw-Nowa Huta);Hektary;;KrakÛw;KrakÛw;ma≥opolskie
31-572;KrakÛw (KrakÛw-Nowa Huta);Henryka Arctowskiego;;KrakÛw;KrakÛw;ma≥opolskie
31-710;KrakÛw (KrakÛw-Nowa Huta);Henryka Brodatego;;KrakÛw;KrakÛw;ma≥opolskie
31-998;KrakÛw (KrakÛw-Nowa Huta);Henryka Flame;;KrakÛw;KrakÛw;ma≥opolskie
31-766;KrakÛw (KrakÛw-Nowa Huta);Henryka Rowida;;KrakÛw;KrakÛw;ma≥opolskie
31-998;KrakÛw (KrakÛw-Nowa Huta);Henryka Uziemb≥y;;KrakÛw;KrakÛw;ma≥opolskie
31-622;KrakÛw (KrakÛw-Nowa Huta);Ho≥du Pruskiego;;KrakÛw;KrakÛw;ma≥opolskie
31-959;KrakÛw (KrakÛw-Nowa Huta);Ignacego Moúcickiego;;KrakÛw;KrakÛw;ma≥opolskie
31-983;KrakÛw (KrakÛw-Nowa Huta);Igo≥omska;1-30;KrakÛw;KrakÛw;ma≥opolskie
31-998;KrakÛw (KrakÛw-Nowa Huta);Igo≥omska;31-DK;KrakÛw;KrakÛw;ma≥opolskie
31-588;KrakÛw (KrakÛw-Nowa Huta);Isep;;KrakÛw;KrakÛw;ma≥opolskie
31-866;KrakÛw (KrakÛw-Nowa Huta);Izydora Stella-Sawickiego;;KrakÛw;KrakÛw;ma≥opolskie
31-831;KrakÛw (KrakÛw-Nowa Huta);Jacka Augustyna £opackiego;;KrakÛw;KrakÛw;ma≥opolskie
31-983;KrakÛw (KrakÛw-Nowa Huta);Jacka Jezierskiego;;KrakÛw;KrakÛw;ma≥opolskie
31-626;KrakÛw (KrakÛw-Nowa Huta);JadüwingÛw;;KrakÛw;KrakÛw;ma≥opolskie
31-980;KrakÛw (KrakÛw-Nowa Huta);Jagienki;;KrakÛw;KrakÛw;ma≥opolskie
31-998;KrakÛw (KrakÛw-Nowa Huta);Jaglana;;KrakÛw;KrakÛw;ma≥opolskie
31-914;KrakÛw (KrakÛw-Nowa Huta);Jakuba Zachemskiego;;KrakÛw;KrakÛw;ma≥opolskie
31-915;KrakÛw (KrakÛw-Nowa Huta);Jana Gajocha;;KrakÛw;KrakÛw;ma≥opolskie
31-709;KrakÛw (KrakÛw-Nowa Huta);Jana Kazimierza;;KrakÛw;KrakÛw;ma≥opolskie
31-859;KrakÛw (KrakÛw-Nowa Huta);Jana Kremskiego;;KrakÛw;KrakÛw;ma≥opolskie
31-618;KrakÛw (KrakÛw-Nowa Huta);Jana Mosdorfa;;KrakÛw;KrakÛw;ma≥opolskie
31-710;KrakÛw (KrakÛw-Nowa Huta);Jana Olbrachta;;KrakÛw;KrakÛw;ma≥opolskie
31-999;KrakÛw (KrakÛw-Nowa Huta);Jana Stanis≥awa Bystronia;;KrakÛw;KrakÛw;ma≥opolskie
31-711;KrakÛw (KrakÛw-Nowa Huta);Janiny PoraziÒskiej;;KrakÛw;KrakÛw;ma≥opolskie
31-727;KrakÛw (KrakÛw-Nowa Huta);JarzÍbiny;;KrakÛw;KrakÛw;ma≥opolskie
31-999;KrakÛw (KrakÛw-Nowa Huta);Jase≥kowa;;KrakÛw;KrakÛw;ma≥opolskie
31-711;KrakÛw (KrakÛw-Nowa Huta);Jasia i Ma≥gosi;;KrakÛw;KrakÛw;ma≥opolskie
31-990;KrakÛw (KrakÛw-Nowa Huta);Jaskrowa;;KrakÛw;KrakÛw;ma≥opolskie
31-978;KrakÛw (KrakÛw-Nowa Huta);Jeremiego Wiúniowieckiego;;KrakÛw;KrakÛw;ma≥opolskie
