,Kod_TERYT,nazwa_samorządu,Województwo,Powiat,typ_JST,nazwa_urzędu_JST,miejscowość,Kod pocztowy,poczta,Ulica,Nr domu,telefon kierunkowy,telefon,telefon 2,wewnętrzny,FAX kierunkowy,FAX,FAX wewnętrzny,ogólny adres poczty elektronicznej gminy/powiatu/województwa,adres www jednostki,ESP,adresy email
1166,1405052,Jaktorów,mazowieckie,grodziski,GW,Urząd Gminy Jaktorów,Jaktorów,96-313,Jaktorów,ul. Warszawska,33,46,8564026,,,46,8552188,,gmina@jaktorow.pl,www.jaktorow.pl,,gmina@jaktorow.pl
1167,1412082,Jakubów,mazowieckie,miński ,GW,Urząd Gminy Jakubów,Jakubów,05-306,Jakubów,Jakubów,55,25,7579190,,,25,7579190,,sekretariat@jakubow.pl,www.jakubow.pl,,sekretariat@jakubow.pl
1168,1406062,Jasieniec,mazowieckie,grójecki,GW,Urząd Gminy Jasieniec,Jasieniec,05-604,Jasieniec,ul. Warecka,42,48,6613570,,,48,6613581,,jasieniec@jasieniec.pl,www.jasieniec.pl,,jasieniec@jasieniec.pl
1169,1430022,Jastrząb,mazowieckie,szydłowiecki,GW,Urząd Gminy Jastrząb,Jastrząb,26-502,Jastrząb,Plac Niepodległości,5,48,6284860,,,48,6284861,,jastrzab@gmina.waw.pl,www.jastrzab.gmina.waw.pl/,,jastrzab@gmina.waw.pl
1170,1425042,Jastrzębia,mazowieckie,radomski,GW,Urząd Gminy Jastrzębia,Jastrzębia,26-631,Jastrzębia,Jastrzębia,,48,3840505,,,48,3840504,,urzad@jastrzebia.pl,www.jastrzebia.pl,,urzad@jastrzebia.pl
1171,1425052,Jedlińsk,mazowieckie,radomski,GW,Urząd Gminy Jedlińsk,Jedlińsk,26-660,Jedlińsk,ul. Warecka,19,48,3213021,,,48,3213021,,jedlinsk@jedlinsk.pl,www.jedlinsk.pl,,jedlinsk@jedlinsk.pl
1172,1425062,Jedlnia-Letnisko,mazowieckie,radomski,GW,Urząd Gminy Jedlnia-Letnisko,Jedlnia-Letnisko,26-630,Jedlnia-Letnisko,ul. Radomska ,43,48,3848470,,,48,3703826,,sekretariat@jedlnia.pl,www.jedlnia.pl,,sekretariat@jedlnia.pl
1173,1422042,Jednorożec,mazowieckie,przasnyski,GW,Urząd Gminy Jednorożec,Jednorożec,06-323,Jednorożec,ul. Odrodzenia,14,29,7517030,,,29,7517031,,gmina@jednorozec.pl,www.jednorozec.pl,,gmina@jednorozec.pl
1174,1420062,Joniec,mazowieckie,płoński,GW,Urząd Gminy Joniec,Joniec,09-131,Joniec,Joniec,29,23,6616041,,,23,6616330,,joniec@ugjoniec.pl,www.ugjoniec.pl,,joniec@ugjoniec.pl
1175,1417011,Józefów,mazowieckie,otwocki,GM,Urząd Miasta Józefowa,Józefów,05-420,Józefów,ul. Kardynała Wyszyńskiego,1,22,7790000,,,22,7790015,,um@jozefow.pl,www.jozefow.pl,,um@jozefow.pl
1176,1415052,Kadzidło,mazowieckie,ostrołęcki,GW,Urząd Gminy Kadzidło,Kadzidło,07-420,Kadzidło,ul. Targowa,4,29,7618016,,,29,7618016,,gmina@kadzidlo.pl,www.kadzidlo.pl,,gmina@kadzidlo.pl
1177,1412093,Kałuszyn,mazowieckie,miński ,GMW,Urząd Miasta i Gminy Kałuszyn,Kałuszyn,05-310,Kałuszyn,ul. Pocztowa,1,25,7576618,,,25,7576026,,umkaluszyn@kaluszyn.pl,www.kaluszyn.pl,,umkaluszyn@kaluszyn.pl
1178,1432032,Kampinos,mazowieckie,warszawski zachodni,GW,Urząd Gminy Kampinos,Kampinos,05-085,Kampinos,ul. Niepokalanowska,3,22,7250040,,,22,7250444,,urzad@kampinos.pl,www.kampinos.pl,,urzad@kampinos.pl
1179,1417043,Karczew,mazowieckie,otwocki,GMW,Urząd Miejski w Karczewie,Karczew,05-480,Karczew,ul. Warszawska,28,22,7806083,,,22,7806536,,um@karczew.pl,www.karczew.pl,,um@karczew.pl
1180,1411032,Karniewo,mazowieckie,makowski,GW,Urząd Gminy Karniewo,Karniewo,06-425,Karniewo,ul. Pułtuska,3,29,6911013,,,29,6911073,,gmina@karniewo.pl,www.karniewo.pl,,gmina@karniewo.pl
1181,1436012,Kazanów,mazowieckie,zwoleński,GW,Urząd Gminy Kazanów,Kazanów,26-713,Kazanów,Plac Partyzantów ,28,48,6766033,,,48,6766055,,sekretariat@kazanow.pl,www.kazanow.pl,,sekretariat@kazanow.pl
1182,1434072,Klembów,mazowieckie,wołomiński,GW,Urząd Gminy Klembów,Klembów,05-205,Klembów,ul. Gen. F. Żymirskiego,38,29,7538800,,,29,7779085,,urzad@klembow.pl,www.klembow.pl,,urzad@klembow.pl
1183,1423032,Klwów,mazowieckie,przysuski,GW,Urząd Gminy Klwów,Klwów,26-415,Klwów,ul. Opoczyńska,35,48,6710010,,25,48,6710010,,ug@klwow.pl,www.klwow.pl,,ug@klwow.pl
1184,1434011,Kobyłka,mazowieckie,wołomiński,GM,Urząd Miasta Kobyłka,Kobyłka,05-230,Kobyłka,ul. Wołomińska,1,22,7607008,,,22,7607055,,urzad@kobylka.pl,www.kobylka.pl,,urzad@kobylka.pl
1185,1417052,Kołbiel,mazowieckie,otwocki,GW,Urząd Gminy Kołbiel,Kołbiel,05-340,Kołbiel,ul. Szkolna,1,25,7573992,,105,25,7573997,,gmina@kolbiel.pl,www.kolbiel.pl,,gmina@kolbiel.pl
1186,1418023,Konstancin-Jeziorna,mazowieckie,piaseczyński,GMW,Urząd Miasta i Gminy Konstancin-Jeziorna,Konstancin-Jeziorna,05-520,Konstancin-Jeziorna,ul. Warszawska,32,22,7564810,,,22,7564885,,urzad@konstancinjeziorna.pl,www.konstancinjeziorna.pl,,urzad@konstancinjeziorna.pl
1187,1426022,Korczew,mazowieckie,siedlecki,GW,Urząd Gminy Korczew,Korczew,08-108,Korczew,ul. Ks. Brzóski,20a,25,6312022,,,25,6312089,,korczew_gmina@wp.pl,www.korczew.pl,,korczew_gmina@wp.pl
1188,1433032,Korytnica,mazowieckie,węgrowski,GW,Urząd Gminy Korytnica,Korytnica,07-120,Korytnica,ul. Adama Małkowskiego,20,25,6612284,,,25,6612260,,ug@korytnica.pl,www.korytnica.pl,,ug@korytnica.pl
1189,1429053,Kosów Lacki,mazowieckie,sokołowski,GMW,Urząd Miasta i Gminy Kosów Lacki,Kosów Lacki,08-330,Kosów Lacki,ul. Kolejowa,2,25,7879105,,,25,7879038,,samorzad@kosowlacki.pl,www.kosowlacki.pl,,samorzad@kosowlacki.pl
1190,1426032,Kotuń,mazowieckie,siedlecki,GW,Urząd Gminy Kotuń,Kotuń,08-130,Kotuń,ul. Siedlecka,56c,25,6414383,,12,25,6327830,,ug@kotun.pl,www.kotun.pl,,ug@kotun.pl
1191,1425072,Kowala,mazowieckie,radomski,GW,Urząd Gminy Kowala,Kowala,26-624,Kowala,Kowala-Stępocina,105A,48,6101760,,,48,6101722,,kowala@kowala.pl,www.kowala.pl,,kowala@kowala.pl
1192,1407053,Kozienice,mazowieckie,kozienicki,GMW,Urząd Miejski w Kozienicach,Kozienice,26-900,Kozienice,ul. Parkowa,5,48,6117100,,,48,6142048,,urzad@kozienice.pl,www.kozienice.pl,,urzad@kozienice.pl
1193,1422052,Krasne,mazowieckie,przasnyski,GW,Urząd Gminy Krasne,Krasne,06-408,Krasne,ul. Adama Mickiewicza,23,23,6710017,,12,23,6710017,,ug_krasne@krasne.pl,www.krasne.pl,,ug_krasne@krasne.pl
1194,1411042,Krasnosielc,mazowieckie,makowski,GW,Urząd Gminy Krasnosielc,Krasnosielc,06-212,Krasnosielc,ul. Rynek,40,29,7175073,,,29,7175074,,ugkrasnosielc@post.pl,www.gminakrasnosielc.pl,,ugkrasnosielc@post.pl
1195,1422062,Krzynowłoga Mała,mazowieckie,przasnyski,GW,Urząd Gminy Krzynowłoga Mała,Krzynowłoga Mała,06-316,Krzynowłoga Mała,ul. Kościelna,3,29,7512720,,,29,7512725,,gmina@krzynowlogamala.pl,www.krzynowlogamala.pl,,gmina@krzynowlogamala.pl
1196,1437022,Kuczbork-Osada,mazowieckie,żuromiński,GW,Urząd Gminy Kuczbork-Osada,Kuczbork-Osada,09-310,Kuczbork-Osada,ul. Mickiewicza,7,23,6576259,,32,23,6576259,,jacek.grzybicki@ugkuczbork.pl,http://ugkuczbork.pl/,,jacek.grzybicki@ugkuczbork.pl
1197,1412102,Latowicz,mazowieckie,miński ,GW,Urząd Gminy Latowicz,Latowicz,05-334,Latowicz,ul. Rynek,6,25,7521065,,29,25,7521090,,sekretariat@gmina-latowicz.pl,www.gmina-latowicz.pl,,sekretariat@gmina-latowicz.pl
1198,1408011,Legionowo,mazowieckie,legionowski,GM,Urząd Miasta Legionowo,Legionowo,05-120,Legionowo,ul. Marsz. Józefa Piłsudskiego,41,22,7742031,,,22,7849566,,kancelaria@um.legionowo.pl,https://legionowo.pl/,,kancelaria@um.legionowo.pl
1199,1415062,Lelis,mazowieckie,ostrołęcki,GW,Urząd Gminy Lelis,Lelis,07-402,Lelis,ul. Szkolna,37,29,7611981,,,29,7611980,,sekretariat@lelis.pl,http://www.lelis.pl/,,sekretariat@lelis.pl
1200,1414032,Leoncin,mazowieckie,nowodworski,GW,Urząd Gminy Leoncin,Leoncin,05-155,Leoncin,ul. Partyzantów,3,22,7856600,,,22,7856600,,ug.leoncin@tlen.pl ,www.leoncin.pl,,ug.leoncin@tlen.pl 
1201,1432042,Leszno,mazowieckie,warszawski zachodni,GW,Urząd Gminy Leszno,Leszno,05-084,Leszno,Al. Wojska Polskiego,21,22,7258005,,,22,7258552,,urzad@gminaleszno.pl,http://www.leszno.bipgminy.pl/public/,,urzad@gminaleszno.pl
1202,1418032,Lesznowola,mazowieckie,piaseczyński,GW,Urząd Gminy Lesznowola,Lesznowola,05-506,Lesznowola,ul. Gminnej Rady Narodowej ,60,22,7579340,,,22,7579270,,gmina@lesznowola.pl,https://www.lesznowola.pl/,,gmina@lesznowola.pl
1203,1413032,Lipowiec Kościelny,mazowieckie,mławski,GW,Urząd Gminy Lipowiec Kościelny,Lipowiec Kościelny,06-545,Lipowiec Kościelny,Lipowiec Kościelny,213,23,6555029,,,23,6555028,,gmina@lipowieckoscielny.pl,www.lipowieckoscielny.pl,,gmina@lipowieckoscielny.pl
1204,1409033,Lipsko,mazowieckie,lipski,GMW,Urząd Miasta i Gminy  Lipsko,Lipsko,27-300,Lipsko,ul. 1 Maja,2,48,3780048,,11,48,3780175,,umig@lipsko.eu,www.lipsko.eu,,umig@lipsko.eu
1205,1433042,Liw,mazowieckie,węgrowski,GW,Urząd Gminy Liw,Liw,07-100,Węgrów,ul. Mickiewicza,2,25,7922821,,,25,7922821,,admin@liw.pl,www.liw.pl,,admin@liw.pl
1206,1437033,Lubowidz,mazowieckie,żuromiński,GMW,Urząd Gminy Lubowidz,Lubowidz,09-304,Lubowidz,ul. Zielona,10,23,6582078,,20,23,6582078,,ugl@uglubowidz.com,www.uglubowidz.com,,ugl@uglubowidz.com
1207,1437042,Lutocin,mazowieckie,żuromiński,GW,Urząd Gminy Lutocin,Lutocin,09-317,Lutocin,ul. Poniatowskiego,1,23,6581001,,,23,6581002,,sekretariat@lutocin.i-gmina.pl,www.lutocin.i-gmina.pl,,sekretariat@lutocin.i-gmina.pl
1208,1403021,Łaskarzew,mazowieckie,garwoliński,GM,Urząd Miasta Łaskarzew,Łaskarzew,08-450,Łaskarzew,ul. Duży Rynek ,32,25,6845250,,,25,6845097,,urzad@miastolaskarzew.pl,www.miasto.laskarzew.pl,,urzad@miastolaskarzew.pl
1209,1403062,Łaskarzew,mazowieckie,garwoliński,GW,Urząd Gminy Łaskarzew,Łaskarzew,08-450,Łaskarzew,ul. Rynek Duży im. Józefa Piłsudskiego,32,25,6845024,,,25,6845024,,ug@laskarzew.pl,www.laskarzew.pl,,ug@laskarzew.pl
1210,1419072,Łąck,mazowieckie,płocki,GW,Urząd Gminy Łąck,Łąck,09-520,Łąck,ul. Gostynińska,2,24,3841400,,,24,3841415,,sekretariat@gminalack.pl,www.gminalack.pl,,sekretariat@gminalack.pl
1211,1433053,Łochów,mazowieckie,węgrowski,GMW,Urząd Miejski w Łochowie,Łochów,07-130,Łochów,Al. Pokoju,75,25,6437800,,,25,6437880,,kancelaria@gminalochow.pl,www.gminalochow.pl,,kancelaria@gminalochow.pl
1212,1432053,Łomianki,mazowieckie,warszawski zachodni,GMW,Urząd Miejski w Łomiankach,Łomianki,05-092,Łomianki,ul. Warszawska,115,22,7686324,,,22,7686302,,umig@lomianki.pl,www.lomianki.pl,,umig@lomianki.pl
1213,1410023,Łosice,mazowieckie,łosicki,GMW,Urząd Miasta i Gminy w Łosicach,Łosice,08-200,Łosice,ul. Piłsudskiego,6,83,3573542,,20,83,3570701,,UMIGLOSICE@PRO.ONET.PL,www.losiceonline.republika.pl,,UMIGLOSICE@PRO.ONET.PL
1214,1415072,Łyse,mazowieckie,ostrołęcki,GW,Urząd Gminy Łyse,Łyse,07-437,Łyse,ul. Ostrołęcka,2,29,7725027,,41,29,7725027,,ug_lyse@wp.pl,www.gminalyse.pl,,ug_lyse@wp.pl
1215,1403072,Maciejowice,mazowieckie,garwoliński,GW,Urząd Gminy Maciejowice,Maciejowice,08-480,Maciejowice,ul. Rynek,7,25,6825737,,11,25,6825737,,gmina@maciejowice.pl,www.maciejowice.pl,,gmina@maciejowice.pl
1216,1407062,Magnuszew,mazowieckie,kozienicki,GW,Urząd Gminy Magnuszew,Magnuszew,26-910,Magnuszew,ul. Saperów,24,48,6217025,,,48,6217105,,ugmagnuszew@bip.org.pl,http://www.magnuszew.pl/,,ugmagnuszew@bip.org.pl
1217,1411011,Maków Mazowiecki,mazowieckie,makowski,GM,Urząd Miejski w Makowie Mazowieckim,Maków Mazowiecki,06-200,Maków Mazowiecki,ul. Moniuszki,6,29,7171002,,,29,7171507,,urzad@makowmazowiecki.pl,www.makowmazowiecki.pl,,urzad@makowmazowiecki.pl
1218,1419082,Mała Wieś,mazowieckie,płocki,GW,Urząd Gminy Mała Wieś,Mała Wieś,09-460,Mała Wieś,ul. Jana Kochanowskiego,1,24,2697960,,,24,2697961,,gmina@malawies.pl,www.malawies.pl,,gmina@malawies.pl
1219,1416052,Małkinia Górna,mazowieckie,ostrowski,GW,Urząd Gminy Małkinia Górna,Małkinia Górna,07-320,Małkinia Górna,ul. Przedszkolna,1,29,6448000,,,29,7455118,,poczta@malkiniagorna.pl,www.malkiniagorna.pl,,poczta@malkiniagorna.pl
1220,1434021,Marki,mazowieckie,wołomiński,GM,Urząd Miasta Marki,Marki,05-270,Marki,Aleja Marszałka Józefa Piłsudskiego,95,22,7811003,,,22,7811378,,urzad.miasta@marki.pl,www.marki.pl,,urzad.miasta@marki.pl
1221,1403082,Miastków Kościelny,mazowieckie,garwoliński,GW,Urząd Gminy Miastków Kościelny,Miastków Kościelny,08-420,Miastków Kościelny,ul. Rynek,6,25,7511286,,,25,7511286,,gmina@miastkowkoscielny.pl,www.miastkowkoscielny.pl,,gmina@miastkowkoscielny.pl
1222,1421042,Michałowice,mazowieckie,pruszkowski,GW,Urząd Gminy Michałowice,Reguły,05-816,Michałowice,ul. Aleja Powstańców Warszawy,1,22,3509191,,,22,3509101,,sekretariat@michalowice.pl,www.michalowice.pl,,sekretariat@michalowice.pl
1223,1433062,Miedzna,mazowieckie,węgrowski,GW,Urząd Gminy Miedzna,Miedzna,07-106,Miedzna,Pl. 11 Listopada,4,25,6918327,,,25,6918328,,ugmiedzna@op.pl,http://gmina-miedzna.pl,,ugmiedzna@op.pl
1224,1405011,Milanówek,mazowieckie,grodziski,GM,Urząd Miasta Milanówka,Milanówek,05-822,Milanówek,ul. Kościuszki,45,22,7583061,,217,22,7583062,,miasto@milanowek.pl,www.milanowek.pl,,miasto@milanowek.pl
1225,1412011,Mińsk Mazowiecki,mazowieckie,miński ,GM,Urząd Miasta Mińsk Mazowiecki,Mińsk Mazowiecki,05-300,Mińsk Mazowiecki,ul. Konstytucji 3-go Maja,1,25,7595311,,,25,7584025,,boi@umminskmaz.pl,www.minsk-maz.pl,,boi@umminskmaz.pl
1226,1412112,Mińsk Mazowiecki,mazowieckie,miński ,GW,Urząd Gminy Mińsk Mazowiecki,Mińsk Mazowiecki,05-300,Mińsk Mazowiecki,ul. Chełmońskiego,14,25,7562500,,,25,7562550,,gmina@minskmazowiecki.pl,www.minskmazowiecki.pl,,gmina@minskmazowiecki.pl
1227,1430032,Mirów,mazowieckie,szydłowiecki,GW,Urząd Gminy Mirów,Mirów Stary,26-503,Mirów Stary,Mirów Stary,27,48,6283889,,11,48,6283889,,urzad@mirow.pl,www.mirow.pl,,urzad@mirow.pl
1228,1413011,Mława,mazowieckie,mławski,GM,Urząd Miasta Mława,Mława,06-500,Mława,ul. Stary Rynek,19,23,6543382,,,23,6543652,,info@mlawa.pl,http://www.mlawa.pl/,,info@mlawa.pl
1229,1428042,Młodzieszyn,mazowieckie,sochaczewski,GW,Urząd Gminy Młodzieszyn,Młodzieszyn,96-512,Młodzieszyn,ul. Wyszogrodzka,25,46,8641750,,,46,8641765,,sekretariat@mlodzieszyn.pl,http://mlodzieszyn.pl/,,sekretariat@mlodzieszyn.pl
1230,1411052,Młynarze,mazowieckie,makowski,GW,Urząd Gminy Młynarze,Młynarze,06-231,Młynarze,ul. Ostrołęcka,7,29,7680062,,,29,7680062,,ugmlynarze@post.pl,http://mlynarze.bipgminy.pl,,ugmlynarze@post.pl
1231,1427032,Mochowo,mazowieckie,sierpecki,GW,Urząd Gminy Mochowo,Mochowo,09-214,Mochowo,ul. Sierpiecka ,2,24,2763333,,,24,2763333,,gmina@mochowo.pl,www.mochowo.pl,,gmina@mochowo.pl
1232,1406073,Mogielnica,mazowieckie,grójecki,GMW,Urząd Miasta i Gminy w Mogielnicy,Mogielnica,05-640,Mogielnica,ul.Rynek,1,48,6635149,,,48,6635149,,gmina@mogielnica.pl,www.mogielnica.pl,,gmina@mogielnica.pl
1233,1426042,Mokobody,mazowieckie,siedlecki,GW,Urząd Gminy Mokobody,Mokobody,08-124,Mokobody,Plac Chreptowicza,25,25,6411315,,34,25,6411315,,gmina@mokobody.pl,www.mokobody.pl,,gmina@mokobody.pl
1234,1426053,Mordy,mazowieckie,siedlecki,GMW,Urząd Miasta i Gminy Mordy,Mordy,08-140,Mordy,ul. Kilińskiego,9,25,6415402,,,25,6415115,,sekretariat@mordy.pl,http://www.mordy.pl/,/82a7tv1mmq,sekretariat@mordy.pl
1235,1412123,Mrozy,mazowieckie,miński ,GMW,Urząd Miasta i Gminy Mrozy,Mrozy,05-320,Mrozy,ul. Adama Mickiewicza,35,25,7574190,,,25,7574190,,gmina@mrozy.pl,www.mrozy.bip.net.pl,,gmina@mrozy.pl
1236,1438023,Mszczonów,mazowieckie,żyrardowski,GMW,Urząd Miejski w Mszczonowie,Mszczonów,96-320,Mszczonów,Plac Piłsudskiego,1,46,8582820,,,46,8582843,,urzad.miejski@mszczonow.pl,www.mszczonow.pl,,urzad.miejski@mszczonow.pl
1237,1415083,Myszyniec,mazowieckie,ostrołęcki,GMW,Urząd Miejski w Myszyńcu,Myszyniec,07-430,Myszyniec,Plac Wolności,60,29,7721141,,10,29,7721141,,sekretariat@myszyniec.pl,http://www.myszyniec.pl/,,sekretariat@myszyniec.pl
1238,1421052,Nadarzyn,mazowieckie,pruszkowski,GW,Urząd Gminy Nadarzyn,Nadarzyn,05-830,Nadarzyn,ul. Mszczonowska,24,22,7298185,,109,22,7298185,,gmina@nadarzyn.pl,http://www.nadarzyn.pl/,,gmina@nadarzyn.pl
1239,1420072,Naruszewo,mazowieckie,płoński,GW,Urząd Gminy Naruszewo,Naruszewo,09-152,Naruszewo,Naruszewo,19A,23,6631051,,34,23,6631051,,ugnaruszewo@vip.wp.pl,http://www.naruszewo.pl/,,ugnaruszewo@vip.wp.pl
1240,1414043,Nasielsk,mazowieckie,nowodworski,GMW,Urząd Miejski w Nasielsku,Nasielsk,05-190,Nasielsk,ul. Elektronowa,3,23,6933000,,,23,6912470,,um@nasielsk.pl,www.nasielsk.pl,,um@nasielsk.pl
1241,1408032,Nieporęt,mazowieckie,legionowski,GW,Urząd Gminy Nieporęt,Nieporęt,05-126,Nieporęt,Pl. Wolności ,1,22,7670400,,,22,7670441,,urzad@nieporet.pl,www.nieporet.pl,,urzad@nieporet.pl
1242,1428052,Nowa Sucha,mazowieckie,sochaczewski,GW,Urząd Gminy Nowa Sucha,Nowa Sucha,96-513,Nowa Sucha,Nowa Sucha,59A,46,8612051,,,46,8612051,,gmina@nowasucha.pl,www.nowasucha.pl,,gmina@nowasucha.pl
1243,1420082,Nowe Miasto,mazowieckie,płoński,GW,Urząd Gminy Nowe Miasto,Nowe Miasto,09-120,Nowe Miasto,ul. Apteczna,8,23,6614920,,,23,)6614923,,info@ugnowemiasto.pl,http://www.ugnowemiasto.pl/,,info@ugnowemiasto.pl
1244,1406083,Nowe Miasto nad Pilicą,mazowieckie,grójecki,GMW,Urząd Miasta i Gminy Nowe Miasto nad Pilicą,Nowe Miasto nad Pilicą,26-420,Nowe Miasto nad Pilicą,Pl. O. H. Koźmińskiego,1\2,48,6741098,,,48,6741179,,nowemiasto@nowemiasto.pl,www.nowemiasto.pl,,nowemiasto@nowemiasto.pl
1245,1419092,Nowy Duninów,mazowieckie,płocki,GW,Urząd Gminy Nowy Duninów,Nowy Duninów,09-505,Nowy Duninów,ul. Osiedlowa,1,24,2610272,,106,24,2610272,,ug@nowyduninow.info.pl,www.nowyduninow.info.pl,,ug@nowyduninow.info.pl
1246,1414011,Nowy Dwór Mazowiecki,mazowieckie,nowodworski,GM,Urząd Miejski w Nowym Dworze Mazowieckim,Nowy Dwór Mazowiecki,05-100,Nowy Dwór Mazowiecki,ul. Zakroczymska,30,22,5122000,,,22,5122101,,sekretariat@nowydwormaz.pl,www.nowydwormaz.pl,,sekretariat@nowydwormaz.pl
1247,1416062,Nur,mazowieckie,ostrowski,GW,Urząd Gminy Nur,Nur,07-322,Nur,ul. Drochiczyńska,2,86,2779900,,,86,2779901,,ugnur@gminanur.pl,www.gminanur.pl,,ugnur@gminanur.pl
1248,1424022,Obryte,mazowieckie,pułtuski,GW,Urząd Gminy Obryte,Obryte,07-215,Obryte,Obryte,185,29,7411004,,33,29,7411004,,ugobryte@obryte.pl,www.obryte.pl,,ugobryte@obryte.pl
1249,1423042,Odrzywół,mazowieckie,przysuski,GW,Urząd Gminy Odrzywół,Odrzywół,26-425,Odrzywół,ul. Warszawska,53,48,6716057,,,48,6716350,,sekretariat@odrzywol.eu,www.odrzywol.eu,,sekretariat@odrzywol.eu
1250,1402062,Ojrzeń,mazowieckie,ciechanowski,GW,Urząd Gminy Ojrzeń,Ojrzeń,06-456,Ojrzeń,ul. Ciechanowska,27,23,6718320,,,23,6718310,,sekretariat@ojrzen.pl,www.ojrzen.pl,,sekretariat@ojrzen.pl
1251,1410032,Olszanka,mazowieckie,łosicki,GW,Urząd Gminy Olszanka,Olszanka,08-207,Olszanka,Olszanka,37,83,3575123,,,83,3575183,,wojt@olszanka.gmina.pl,http://www.olszanka.gminarp.pl/,,wojt@olszanka.gmina.pl
1252,1415092,Olszewo-Borki,mazowieckie,ostrołęcki,GW,Urząd Gminy Olszewo-Borki,Olszewo-Borki,07-415,Olszewo-Borki,ul. Władysława Broniewskiego,13,29,7613107,,,29,6432074,,sekretariat@olszewo-borki.pl,http://www.olszewo-borki.pl/,,sekretariat@olszewo-borki.pl
1253,1402072,Opinogóra Górna,mazowieckie,ciechanowski,GW,Urząd Gminy Opinogóra Górna,Opinogóra Górna,06-406,Opinogóra Górna,ul. Zygmunta Krasińskiego,4,23,6736110,,,23,6736110,,ugopinogora@bip.org.pl,www.ugportal.opinogoragorna.pl,,ugopinogora@bip.org.pl
1254,1430042,Orońsko,mazowieckie,szydłowiecki,GW,Urząd Gminy Orońsko,Orońsko,26-505,Orońsko,ul. Szkolna,8,48,6185900,,,48,6185959,,gmina@oronsko.pl,www.oronsko.pl,,gmina@oronsko.pl
1255,1417062,Osieck,mazowieckie,otwocki,GW,Urząd Gminy Osieck,Osieck,08-445,Osieck,ul. Rynek,1,25,6857026,,,25,6857090,,ugosieck@gminaosieck.pl,www.osieck.pl,,ugosieck@gminaosieck.pl
1256,1461011,Ostrołęka,mazowieckie,Ostrołęka,MNP,Urząd Miasta Ostrołęki,Ostrołęka,07-410,Ostrołęka,Plac Gen. J. Bema,1,29,7646811,,200,29,7654320,,um@um.ostroleka.pl,www.ostroleka.pl,,um@um.ostroleka.pl
1257,1416011,Ostrów Mazowiecka,mazowieckie,ostrowski,GM,Urząd Miasta Ostrów Mazowiecka,Ostrów Mazowiecka,07-300,Ostrów Mazowiecka,ul. 3 Maja,66,29,6795450,,,29,6795470,,poczta@ostrowmaz.pl,www.ostrowmaz.pl,,poczta@ostrowmaz.pl
1258,1416072,Ostrów Mazowiecka,mazowieckie,ostrowski,GW,Urząd Gminy Ostrów Mazowiecka,Ostrów Mazowiecka,07-300,Ostrów Mazowiecka,ul. Władysława Sikorskiego ,5,29,7468600,,,29,7468600,,gminaostrowmaz@home.pl,www.gminaostrowmaz.home.pl,,gminaostrowmaz@home.pl
1259,1417021,Otwock,mazowieckie,otwocki,GM,Urząd Miasta Otwocka,Otwock,05-400,Otwock,ul. Armii Krajowej,5,22,7792001,,,22,7794225,,umotwock@otwock.pl,www.otwock.pl,,umotwock@otwock.pl
1260,1432063,Ożarów Mazowiecki,mazowieckie,warszawski zachodni,GMW,Urząd Miejski w Ożarowie Mazowieckim,Ożarów Mazowiecki,05-850,Ożarów Mazowiecki,ul. Kolejowa,2,22,7222207,,,22,7221887,,umig@ozarow-mazowiecki.pl,www.ozarow-mazowiecki.pl,,umig@ozarow-mazowiecki.pl
1261,1404032,Pacyna,mazowieckie,gostyniński,GW,Urząd Gminy Pacyna,Pacyna,09-541,Pacyna,ul. Wyzwolenia,7,24,2858054,,,24,2858054,,gmina@pacyna.mazowsze.pl,www.pacyna.mazowsze.pl,,gmina@pacyna.mazowsze.pl
1262,1426062,Paprotnia,mazowieckie,siedlecki,GW,Urząd Gminy Paprotnia,Paprotnia,08-107,Paprotnia,ul. 3 Maja,2,25,6312110,,,25,6312110,,ug_paprotnia@pro.onet.pl,http://paprotnia.pl/,,ug_paprotnia@pro.onet.pl
1263,1403092,Parysów,mazowieckie,garwoliński,GW,Urząd Gminy Parysów,Parysów,08-441,Parysów,ul. Kościuszki,28,25,6855319,,,25,6855370,,ug@parysow.pl,www.parysow.pl,,ug@parysow.pl
1264,1418043,Piaseczno,mazowieckie,piaseczyński,GMW,Urząd Miasta i Gminy Piaseczno,Piaseczno,05-500,Piaseczno,ul. Kościuszki,5,22,"7017500
",,,22,7567049,,urzad@piaseczno.eu,www.piaseczno.eu,,urzad@piaseczno.eu
1265,1421011,Piastów,mazowieckie,pruszkowski,GM,Urząd Miejski w Piastowie,Piastów,05-820,Piastów,ul. 11 Listopada,2,22,7705200,,,22,7236600,,sekretariat@piastow.pl,www.piastow.pl,,sekretariat@piastow.pl
1266,1403103,Pilawa,mazowieckie,garwoliński,GMW,Urząd Miasta i Gminy Pilawa,Pilawa,08-440,Pilawa,Al. Wyzwolenia,158,25,6856110,,,25,6856083,,urzad@pilawa.com.pl,www.pilawa.com.pl,,urzad@pilawa.com.pl
1267,1425011,Pionki,mazowieckie,radomski,GM,Urząd Miasta Pionki,Pionki,26-670,Pionki,Aleja Jana Pawła II,15,48,3414200,,,48,3121102,,burmistrz@pionki.pl,www.pionki.pl,,burmistrz@pionki.pl
